latitude,longitude,altitude,geometry,_id,title,location_name,sentiment_score,topic_index
36.674,117.061,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,锦江之星,0.9548,2
36.665,117.072,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,锦江酒店,0.9548,2
36.676,116.973,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200040.html,最火热暑期收官：文化山东人偏爱自驾和“逛馆”,快捷连锁酒店,0.9548,2
36.671,117.014,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200039.html,民营市场主体达1419.6万户！山东将出台《关于支持民营经济高质量发展的若干意见》,省政府,0.9926,3
36.652,116.962,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200039.html,民营市场主体达1419.6万户！山东将出台《关于支持民营经济高质量发展的若干意见》,全国工商联,0.9926,3
36.737,116.995,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200039.html,民营市场主体达1419.6万户！山东将出台《关于支持民营经济高质量发展的若干意见》,山东发展,0.9926,3
36.677,117.128,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200038.html,山东首次发布10项科技创新“好成果”,山东能源研究院,0.9898,3
36.659,117.264,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200038.html,山东首次发布10项科技创新“好成果”,中国科学院,0.9898,3
36.619,116.815,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200038.html,山东首次发布10项科技创新“好成果”,新能源汽车,0.9898,3
36.737,116.995,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200038.html,山东首次发布10项科技创新“好成果”,山东科技,0.9898,3
36.651,117.114,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200003.html,山东印发《黄河国家文化公园(山东段)建设保护规划》,山东省发展改革委,0.9908,3
37.448,118.576,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200003.html,山东印发《黄河国家文化公园(山东段)建设保护规划》,东营,0.9908,3
36.667,117.022,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200003.html,山东印发《黄河国家文化公园(山东段)建设保护规划》,齐鲁,0.9908,3
36.677,117.346,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200003.html,山东印发《黄河国家文化公园(山东段)建设保护规划》,新时代,0.9908,3
36.85,117.204,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100043.html,暑运收官！山东机场客流达历史最高水平，总吞吐量近750万人次,山东省机场管理集团,0.9916,1
36.858,117.205,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100043.html,暑运收官！山东机场客流达历史最高水平，总吞吐量近750万人次,省机场管理集团,0.9916,1
37.448,118.576,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100043.html,暑运收官！山东机场客流达历史最高水平，总吞吐量近750万人次,东营机场,0.9916,1
29.12,110.474,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100043.html,暑运收官！山东机场客流达历史最高水平，总吞吐量近750万人次,张家界,0.9916,1
28.549,115.939,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100043.html,暑运收官！山东机场客流达历史最高水平，总吞吐量近750万人次,南昌,0.9916,1
37.448,118.576,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100043.html,暑运收官！山东机场客流达历史最高水平，总吞吐量近750万人次,东营,0.9916,1
40.841,111.742,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100043.html,暑运收官！山东机场客流达历史最高水平，总吞吐量近750万人次,呼和浩特,0.9916,1
36.851,117.208,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100043.html,暑运收官！山东机场客流达历史最高水平，总吞吐量近750万人次,济南机场,0.9916,1
36.715,117.366,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100043.html,暑运收官！山东机场客流达历史最高水平，总吞吐量近750万人次,芽庄,0.9916,1
36.858,117.205,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100043.html,暑运收官！山东机场客流达历史最高水平，总吞吐量近750万人次,山东机场,0.9916,1
28.44,104.516,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100025.html,省黄三角农高区聚力攻坚盐碱地农机装备核心技术,黄三角农高区,0.6646,3
36.619,117.025,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100025.html,省黄三角农高区聚力攻坚盐碱地农机装备核心技术,华夏,0.6646,3
36.642,117.021,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100024.html,9月1日黄渤海休渔期结束 山东14000艘渔船蓄势待发,山东海事局,0.9644,4
36.651,117.218,,Point,http://news.e23.cn/shandong/2023-09-01/2023090100023.html,在数字经济发展新赛道上跑出山东速度,浪潮集团,0.9922,3
36.662,117.094,,Point,http://news.e23.cn/shandong/2023-08-31/2023083100017.html,山东首批基层药店开售集采药品,省医保局,0.984,4
36.683,117.079,,Point,http://news.e23.cn/shandong/2023-08-31/2023083100013.html,山东构建五级老年教育办学服务体系助力老有所学,山东省委老干部局,0.6426,3
36.677,117.346,,Point,http://news.e23.cn/shandong/2023-08-31/2023083100013.html,山东构建五级老年教育办学服务体系助力老有所学,新时代,0.6426,3
36.642,117.04,,Point,http://news.e23.cn/shandong/2023-08-30/2023083000057.html,国家碳计量中心（山东）获批筹建,国家碳计量中心,-0.6842,3
36.705,117.051,,Point,http://news.e23.cn/shandong/2023-08-28/2023082800003.html,山东：打造绿水青山秀美家园,小清河,0.9746,5
